Strigatreatment_selection,strigapest,plot_data_id,county
Desmodium,yellow_light,479,SIAYA
Lablab,yellow_light,480,SIAYA
Soyabean,yellow_light,481,SIAYA
Manure,yellow_light,482,SIAYA
Desmodium,yellow_light,483,SIAYA
Soyabean,yellow_light,484,SIAYA
Manure,yellow_light,485,SIAYA
FarmerOwnPractice,yellow_light,486,SIAYA
Lablab,yellow_light,512,HOMABAY
Soyabean,yellow_light,513,HOMABAY
FarmerOwnPractice,red_light,514,HOMABAY
Desmodium,yellow_light,515,HOMABAY
Soyabean,yellow_light,516,HOMABAY
FarmerOwnPractice,red_light,517,HOMABAY
Lablab,yellow_light,518,HOMABAY
Soyabean,yellow_light,519,HOMABAY
FarmerOwnPractice,red_light,520,HOMABAY
Lablab,yellow_light,521,HOMABAY
Soyabean,red_light,522,HOMABAY
FarmerOwnPractice,red_light,523,HOMABAY
Lablab,yellow_light,524,HOMABAY
Soyabean,yellow_light,525,HOMABAY
FarmerOwnPractice,red_light,526,HOMABAY
Desmodium,yellow_light,527,HOMABAY
Lablab,yellow_light,528,HOMABAY
FarmerOwnPractice,red_light,529,HOMABAY
Lablab,yellow_light,530,HOMABAY
Soyabean,yellow_light,531,HOMABAY
FarmerOwnPractice,red_light,532,HOMABAY
Lablab,yellow_light,533,HOMABAY
Soyabean,yellow_light,534,HOMABAY
FarmerOwnPractice,yellow_light,535,HOMABAY
Lablab,yellow_light,536,HOMABAY
Soyabean,yellow_light,537,HOMABAY
FarmerOwnPractice,yellow_light,538,HOMABAY
Lablab,yellow_light,539,HOMABAY
Soyabean,red_light,540,HOMABAY
FarmerOwnPractice,yellow_light,541,HOMABAY
Lablab,yellow_light,542,HOMABAY
Soyabean,red_light,543,HOMABAY
FarmerOwnPractice,red_light,544,HOMABAY
Lablab,yellow_light,545,HOMABAY
Soyabean,yellow_light,546,HOMABAY
FarmerOwnPractice,red_light,547,HOMABAY
Desmodium,yellow_light,548,HOMABAY
Lablab,yellow_light,549,HOMABAY
FarmerOwnPractice,yellow_light,550,HOMABAY
Desmodium,yellow_light,551,HOMABAY
Soyabean,yellow_light,552,HOMABAY
FarmerOwnPractice,red_light,553,HOMABAY
Lablab,yellow_light,554,HOMABAY
Soyabean,yellow_light,555,HOMABAY
FarmerOwnPractice,red_light,556,HOMABAY
Lablab,yellow_light,557,HOMABAY
Soyabean,yellow_light,558,HOMABAY
FarmerOwnPractice,red_light,559,HOMABAY
Lablab,yellow_light,560,HOMABAY
Soyabean,yellow_light,561,HOMABAY
FarmerOwnPractice,yellow_light,562,HOMABAY
Desmodium,yellow_light,563,HOMABAY
Soyabean,yellow_light,564,HOMABAY
FarmerOwnPractice,yellow_light,565,HOMABAY
Desmodium,yellow_light,566,HOMABAY
Soyabean,yellow_light,567,HOMABAY
FarmerOwnPractice,red_light,568,HOMABAY
Lablab,yellow_light,569,HOMABAY
Soyabean,yellow_light,570,HOMABAY
FarmerOwnPractice,yellow_light,571,HOMABAY
Lablab,yellow_light,572,HOMABAY
Soyabean,yellow_light,573,HOMABAY
FarmerOwnPractice,yellow_light,574,HOMABAY
Desmodium,yellow_light,575,HOMABAY
Soyabean,yellow_light,576,HOMABAY
FarmerOwnPractice,yellow_light,577,HOMABAY
Desmodium,yellow_light,578,HOMABAY
Lablab,yellow_light,579,HOMABAY
FarmerOwnPractice,yellow_light,580,HOMABAY
Lablab,yellow_light,581,HOMABAY
Soyabean,yellow_light,582,HOMABAY
FarmerOwnPractice,yellow_light,583,HOMABAY
Lablab,yellow_light,584,HOMABAY
Soyabean,yellow_light,585,HOMABAY
FarmerOwnPractice,yellow_light,586,HOMABAY
Lablab,yellow_light,587,HOMABAY
Soyabean,yellow_light,588,HOMABAY
FarmerOwnPractice,yellow_light,589,HOMABAY
Desmodium,yellow_light,590,HOMABAY
Soyabean,yellow_light,591,HOMABAY
FarmerOwnPractice,yellow_light,592,HOMABAY
Lablab,yellow_light,593,HOMABAY
Soyabean,yellow_light,594,HOMABAY
FarmerOwnPractice,yellow_light,595,HOMABAY
Lablab,green_light,596,HOMABAY
Soyabean,yellow_light,597,HOMABAY
FarmerOwnPractice,yellow_light,598,HOMABAY
Desmodium,yellow_light,599,HOMABAY
Soyabean,yellow_light,600,HOMABAY
FarmerOwnPractice,yellow_light,601,HOMABAY
Lablab,green_light,602,HOMABAY
Soyabean,yellow_light,603,HOMABAY
FarmerOwnPractice,yellow_light,604,HOMABAY
Desmodium,yellow_light,605,HOMABAY
Soyabean,yellow_light,606,HOMABAY
FarmerOwnPractice,yellow_light,607,HOMABAY
Lablab,yellow_light,608,HOMABAY
Soyabean,yellow_light,609,HOMABAY
FarmerOwnPractice,red_light,610,HOMABAY
Lablab,yellow_light,611,HOMABAY
Soyabean,yellow_light,612,HOMABAY
FarmerOwnPractice,yellow_light,613,HOMABAY
Desmodium,yellow_light,614,HOMABAY
Lablab,yellow_light,615,HOMABAY
FarmerOwnPractice,yellow_light,616,HOMABAY
Lablab,yellow_light,617,HOMABAY
Soyabean,yellow_light,618,HOMABAY
FarmerOwnPractice,red_light,619,HOMABAY
